Node ID, Recommended nodes
1        23 39 79 80 81 23 39 79 80 81 1 3 5 10 17 
2        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
3        2 6 7 8 9 10 11 12 13 15 16 17 18 19 24 
4        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
5        4 14 19 26 39 42 48 61 62 71 76 78 84 85 86 
6        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
7        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
8        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
9        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
10        18 22 23 24 25 26 27 28 29 30 31 32 33 34 35 
11        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
12        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
13        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
14        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
15        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
16        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
17        5 24 36 38 40 41 51 53 61 79 86 88 90 91 92 
18        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
19        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
20        3 11 12 14 15 22 25 30 36 39 43 48 49 84 93 
21        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
22        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
23        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
24        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
25        1 2 3 4 5 6 13 25 28 35 39 45 47 54 62 
26        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
27        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
28        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
29        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
30        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
31        7 8 9 10 22 24 32 35 36 37 39 41 42 43 45 
32        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
33        3 4 14 24 28 30 39 51 55 56 58 63 80 84 86 
34        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
35        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
36        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
37        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
38        2 10 11 12 13 14 15 16 17 18 19 23 25 29 36 
39        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
40        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
41        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
42        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
43        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
44        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
45        6 7 14 20 21 22 23 24 31 37 38 42 44 45 58 
46        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
47        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
48        1 3 12 24 25 26 27 28 29 30 32 45 47 52 76 
49        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
50        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
51        6 27 31 32 33 34 35 36 37 38 50 58 78 80 83 
52        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
53        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
54        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
55        1 4 21 30 34 36 39 40 41 42 43 44 50 74 78 
56        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
57        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
58        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
59        4 11 13 15 18 20 23 26 27 31 42 44 45 46 47 
60        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
61        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
62        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
63        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
64        2 4 5 11 28 40 53 54 55 56 57 58 59 60 61 
65        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
66        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
67        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
68        2 6 8 10 11 16 23 24 29 30 31 32 33 34 41 
69        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
70        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
71        8 10 14 15 16 18 21 30 36 40 42 44 45 48 53 
72        1 5 9 10 11 12 14 15 16 23 26 27 41 45 49 
73        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
74        1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 
75        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
76        3 6 7 8 10 13 14 15 16 17 31 36 39 41 46 
77        2 7 8 10 11 16 18 19 20 21 22 23 24 25 26 
78        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
79        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
80        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
81        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
82        8 9 13 17 19 27 30 31 32 33 34 35 36 37 38 
83        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
84        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
85        4 7 12 13 15 21 23 24 25 35 44 46 47 49 50 
86        1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
87        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
88        1 2 3 12 14 16 17 19 20 21 22 23 24 25 26 
89        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
90        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
91        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
92        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
93        1 2 5 7 8 9 10 11 12 13 16 17 21 25 26 
94        1 2 3 4 5 7 8 10 11 13 14 15 16 17 18 
95        1 2 3 4 5 10 11 16 18 20 23 27 28 29 30 
96        1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 
97        1 2 3 8 11 20 23 25 27 29 30 32 33 34 40 
98        4 5 6 7 8 9 10 11 12 13 14 20 27 28 29 
99        1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 
100        4 5 7 8 9 10 11 12 13 16 17 18 19 20 22 
